artist_name,popularity
Diapsiquir,7
Spite Extreme Wing,9
Fauna Music,54
Merrimack,11
Dark Thunder Forest,37
Elysian Blaze,6
Oak Pantheon,7
Melechesh,31
Solefald,12
Nidingr,5
Black Funeral,13
Grisâtre,2
Nattfog,2
Crimson Moonlight,13
Hail Spirit Noir,14
Judas and the Black Messiah,27
Sushmita Sarker,32
Bölzer,15
Myrkvar,1
Desolate Winds,0
Worthless Life,14
Drowning the Light,24
Montuln,0
Dråpsnatt,6
Sauroctonos,0
Verdelet,0
Nordvrede,3
The Toxic Avenger,44
Palace of Worms,1
Hellbringer,16
Einherjer,21
Blood Draugr,18
Beautality,0
Witchtrap,18
In Vain,28
Hypocrisy,39
Nadja Evelina,33
Phronesis,14
Arckanum,17
Alabama Shakes,58
Gary Clark Jr.,55
Grace Potter & The Nocturnals,36
Jaye Hammer,35
"Goodnight, Texas",46
"Crosby, Stills & Nash",57
Lynyrd Skynyrd,71
Elle King,61
Linda Jones,29
The Exciters,33
ZZ Top,69
The Spits,32
Joe Bonamassa,54
Joe Walsh,52
Buffalo Killers,21
Professor Longhair,34
Mickey & Sylvia,37
Snowy White,51
Anders Osborne,42
The Sheepdogs,41
Omar and The Howlers,30
Doyle Bramhall,32
Philip Sayce,40
Vick Allen,22
The Touré-Raichel Collective,34
Tedeschi Trucks Band,50
Beth Hart,49
Ben Miller Band,39
Bonnie Raitt,55
John The Conqueror,32
The Reverend Peyton's Big Damn Band,32
Marcia Ball,31
Lincoln Durham,31
Dr. John,49
Zuzu Bollin,18
All Them Witches,48
Brother Dege,40
The Bones of J.R. Jones,49
Robert Cray,47
Wendell B,34
Fats Domino,52
The Falcons,19
Roy Brown,45
The Heavy Eyes,41
Donnie Ray,30
Amadou & Mariam,54
sweet planet,64
The Spaniels,32
Joe Louis Walker,30
Bigg Robb,29
Roy Buchanan,37
The Dubs,24
Ms. Jody,26
The Five Satins,40
Ben E. King,63
Tab Benoit,40
Janis Joplin,60
Mel Waiters,34
Joseph Huber,20
Walter Trout,38
Liya Ag Ablil,24
Graveyard,42
Ted Nugent,51
Samantha Fish,38
10cc,57
Rosco Gordon,26
The Capris,29
Dick & Dee Dee,14
"Andrew ""Jr Boy"" Jones",16
Avail Hollywood,29
Earl Hooker,32
Muddy Waters,53
Warren Haynes,42
The Clovers,42
LaMorris Williams,22
Abner Jay,18
Anthony Gomes,30
The Paul Butterfield Blues Band,34
Once Mekel,50
Alex Chilton,29
Ballaké Sissoko,43
Kim Fowley,22
Chick Webb,42
LJ Echols,24
Tom Principato,19
Snooky Pryor,27
Woody Guthrie,38
The Earls Of Leicester,27
Karen Wolfe,20
Robin Loxley,32
Robin Trower,45
Ruthie Foster,31
Floyd Taylor,23
Irma Thomas,46
Simon McBride,19
Kareen Lomax,53
Dani Wilde,24
Cage The Elephant,73
The Animals,63
Oli Brown,26
Julian Sas,27
Freddie King,47
The Penguins,43
Charles Wilson,11
Thurston Harris,45
Grinderman,33
Albert King,47
Lil Ed & The Blues Imperials,26
Juzzie Smith,30
Parker Millsap,40
Les Sexareenos,10
The Jeff Healey Band,42
Michael Burks,34
Lukas Nelson and Promise of the Real,44
Faces,53
Blues Pills,36
The Subdudes,30
Climax Blues Band,40
Phantom Blues Band,13
Chuck Leavell,20
The Cadets,16
O. B. Buchana,30
Nathaniel Kimble,13
Blues Traveler,53
The Fleetwoods,42
JD McPherson,44
Laurence Jones,26
Curtis Salgado,32
James Cotton,30
Soledad Brothers,20
Dan Sartain,23
Alvin Lee,35
Eric Steckel,25
Lazy Lester,30
The Kills,47
"Billy ""The Kid"" Emerson",15
Kelly Joe Phelps,22
Janiva Magness,29
Gary Moore,54
T.K. Soul,37
Raphael Lake,42
Bessie Jones,19
Martin Harley,16
Sékouba Bambino,32
Joe Liggins,20
The Harptones,30
Otis Redding,68
Marv Johnson,19
Buddy Guy,50
Kim Wilson,24
Royal Southern Brotherhood,14
Juan Zelada,19
Rob Rio,17
Albert Cummings,35
Santana,68
Eric Burdon,37
Greenleaf,36
Joe Hill Louis,9
"Meade ""Lux"" Lewis",15
Blue Öyster Cult,60
Jonny Lang,45
The Nomads,19
Frankie Lymon & The Teenagers,30
King Khan and the Shrines,26
John Boutté,22
Larry Miller,9
Argent,29
The Intelligence,14
Bettye LaVette,53
Cee Cee James,16
Billy Childish,18
Betty Harris,20
Joe Cocker,62
Henry Butler,9
Big Maybelle,35
Peggy Scott-Adams,29
Shakura S'Aida,14
Rick Estrin & The Nightcats,23
Mojo Blues Band,23
The Datsuns,31
Cab Calloway,38
The Swan Silvertones,19
Barbara Lewis,41
Chuck Roberson,8
Queens of the Stone Age,68
Francesca Caroléo,29
Mia Dyson,26
The Bluesbones,20
Hubert Sumlin,34
Methrone,25
The Devil Dogs,9
Black Country Communion,36
Holly Golightly,32
Radio Moscow,35
Ray Collins' Hot Club,26
Lavelle White,17
Frankie Lymon,40
The Duprees,29
The Sonics,40
Ray Sharpe,13
Ash Grunwald,39
Left Lane Cruiser & James Leg,3
Melvin Taylor,33
North Mississippi Allstars,39
Peter Frampton,53
Koudede,22
Lottie Beaman-Kimbrough,0
The Notorious B.I.G.,75
Big Cynthia,7
Henrik Freischlader,35
Little Freddie King,10
Warren Smith,35
Faye Adams,14
Franco Morone,27
The Fleshtones,18
Denise LaSalle,25
Bror Gunnar Jansson,22
Sir Charles Jones,37
Little Feat,51
Candye Kane,14
Jimmy McCracklin,15
Johnnie Bassett,5
Redd Kross,32
Little Milton,30
the Graveltones,19
Bassnectar,50
The Prodigy,62
Nick Thayer,23
Far Too Loud,32
Evil Nine,34
Noisia,51
Datsik,40
Hybrid Minds,56
Malente,21
Dub Pistols,37
Colombo,33
orbital voices,47
The Chemical Brothers,59
The Crystal Method,46
Ed Solo,45
Roni Size,37
Quadrat Beat,11
Freestylers,40
Freq Nasty,25
Krafty Kuts,36
Rennie Pilgrem,17
The Brainkiller,15
Layo & Bushwacka!,41
Etostone,6
Tony Faline,11
Lee Coombs,8
Drumattic Twins,15
Plump DJs,28
Future Funk Squad,26
Stanton Warriors,34
Afghan Headspin,5
OnDaMiKe,25
Mike & Charlie,8
Earth Leakage Trip,5
Access Denied,11
Shade k,27
Mark Ambor,75
Aggresivnes,18
Deekline,45
Cut La Roc,12
Lo Fidelity Allstars,25
Midfield General,19
DJ Fixx,26
Krack 'N' Dime (Slinky & Smithmonger),0
Myagi,12
Rektchordz,5
Naptime Atmospheres,29
Charlie Curtis-Beard,38
Timo Maas,36
303 Hz,0
Nursery of naughtiness,0
Plaza De Funk,0
Tripp DeiBeat,6
Tayo the Little Bus,41
Capoeira Twins,1
Rob Le Pitch,1
Jaycee Madoxx,33
Guau,21
Baymont Bross,17
Atomic Hooligan,7
SlYder,27
Adam Freeland,32
Splitloop,4
Bassbin Twins,10
Elite Force,21
Meat Katie,13
Aquasky,25
Eason Chan,63
Sita Chan,33
Shiga Lin,41
Jacky Cheung,59
Kary Ng,44
Alfred Hui,39
Khalil Fong,51
Janice Vidal,48
Raymond Lam,47
Leo Ku,49
my little airport,49
Linda Chung,32
Pakho Chau,44
Ruco Chan,29
Joey Yung,53
Above & Beyond,59
Sandy Lam,49
Alan Tam,50
Miriam Yeung,48
Andy Hui,46
Jason Mraz,69
Fiona Sit,41
Kelvin Kwan,31
Jade Kwan,33
Supper Moment,36
Dear Jane,53
Endy Chow,40
Hubert Wu,37
Justin Lo,44
Kay Tse,47
Jinny Ng,38
Linda Wong,32
張德蘭,32
Wilfred Lau,42
Charlene Choi,40
Robynn & Kendy,19
Sammi Cheng,49
Eman Lam,23
Mag Lam,33
Ellen Loo,24
Priscilla Chan,46
李龍基,18
Joyce Cheng,39
Anthony Wong,34
Angelo Famao,46
Ivana Wong,37
Ying Yang Twins,60
Cass Phang,41
Serrini,40
Sherman Chung,26
Adason Lo,18
Vivian Lai,38
Edmond Leung,37
Kelly Chen,46
Liza Wang,34
Vincy Chan,37
Susanna Kwan,31
Ken Hung,29
Ron Ng,24
摩登兄弟劉宇寧,47
C AllStar,41
Leon Lai,46
Prudence Liew,26
JWLKRS Worship,51
Ekin Cheng,45
Frances Yip,33
Myolie Wu,22
Kevin Cheng,19
Charmaine Fong,41
方伊琪,16
Christopher Wong,35
The Electric Swing Circus,44
Stephanie Cheng,37
Jordan Chan,46
David Lui,37
Leslie Cheung,52
Hacken Lee,49
Shirley Kwan,41
Sonny Boy Williamson II,45
Pong Nan,24
Jay Fung,46
Daniel Chan,40
Jason Chan,44
Tat Ming Pair,32
Karen Mok,51
Alex Torres,40
陳浩德,23
Adam Cheng,36
Vivian Chow,43
Dicky Cheung,30
Grasshopper,42
Phil Lam,41
The Kolors,61
鄭錦昌,11
Tony Leung,16
黃宗澤,23
尤雅,29
湯寶如,32
George Lam,45
Roman Tam,40
Sally Yeh,44
Andy Lau,51
Paula Tsui,37
Cajmere,42
Funkmane DJ,46
Mark Farina,36
Glenn Underground,24
Marshall Jefferson,49
DJ Pierre,24
Roy Davis Jr.,36
Bad Boy Bill,25
Virgo Four,9
Jungle Wonz,8
Felix Da Housecat,43
Jesse Saunders,12
Ron Trent,30
Fast Eddie,36
Adonis,32
Lidell Townsell,15
Maurice Joshua,21
Joe Smooth,36
"Steve ""Silk"" Hurley",32
DJ Sneak,26
Armando Julián,55
Robert Owens,32
Mr. Fingers,34
C Paul Johnson,44
Ralphi Rosario,32
Jovonn,26
Barbara Tucker,44
ODESZA,67
Purity Ring,46
Tom Odell,74
Tennis,48
Summer Heart,37
Miami Nights 1984,41
Black Marble,40
Ariel Pink,45
Tristam,47
Chairlift,41
John Maus,44
STRFKR,56
Feint,50
Vacationer,31
Wild Nothing,43
DJ Mitsu The Beats,38
Poldoore,48
Yppah,40
Chromatics,59
Black Moth Super Rainbow,39
Toro y Moi,58
Com Truise,56
Maduk,46
Twin Shadow,44
Anthony Island,46
Bugseed,39
Brothertiger,39
Flatpocket,39
Labyrinth Ear,43
Dirty Art Club,43
Southern Shores,27
Four Tops,61
Sound Remedy,31
Teen Daze,36
Millionyoung,27
Ricky Van Shelton,41
Openzone Bar,37
Tanlines,25
Gardens & Villa,27
Aamir Khan,47
Slow Magic,36
At Dawn We Rage,27
Vanilla Ice,54
Ephixa,39
Gabe Bondoc,47
Tut Tut Child,33
The Bilinda Butchers,28
Rameses B,44
Albert Posis,54
Trifonic,27
Mr Little Jeans,37
Blood Orange,62
iamamiwhoami,35
The Voice Kids - Germany,50
Dynatron,32
Porcelain Raft,25
Perfume Genius,46
Lil Yachty,77
Brook Sapphire,38
Maneli Jamal,39
SelloRekt / LA Dreams,29
Mr FijiWiji,38
levitation room,43
Sleepdealer,36
Elaquent,28
Unknown Mortal Orchestra,57
Destroy Lonely,70
Tourist,52
Mediks,23
Little Dragon,57
Teeel,28
Sun Glitters,23
Soular Order,15
Work Drugs,27
Vexare,22
Sage The Gemini,60
